1	1.731889	-0.057246	-0.292106	-0.278931	-0.160163	-0.194647	0.242456	0.186672	0.357762	0.238147	0.612322	-0.180661	0.564559	-0.422129	0.206590	-0.084038	0.310055	0.225956	0.106591	-0.274022	0.076938	-0.167197	-0.384861	-0.391169	-0.133540	0.162212	-0.021532	0.091398	-0.352864	-0.179917	0.423950	0.044423	-0.037329	-0.031857	0.443000	-0.381328	0.119428	-0.295548	-0.301708	-0.249026	-0.313324	0.611202	-0.503133	0.043106	0.213731	-0.653924	0.601207	0.432490	-0.412015	-0.239141	0.429708	
2	1.329419	-0.075511	-0.589634	-0.109648	-0.282749	-0.177336	0.378942	0.098903	0.459910	0.261641	0.806311	-0.301027	0.697747	-0.399610	0.395976	-0.201307	0.440214	0.243643	0.253546	-0.362706	0.181771	-0.155682	-0.302487	-0.438770	-0.068827	0.190264	0.233651	-0.064892	-0.182573	-0.163770	0.542811	-0.033031	0.054504	-0.011257	0.610748	-0.484409	0.238901	-0.289407	-0.252328	-0.273425	-0.276557	0.784919	-0.736790	0.077509	0.185871	-1.043782	0.983255	0.599722	-0.561304	-0.459024	0.643590	
3	0.893770	-0.084930	-0.954828	0.085096	-0.452281	-0.168080	0.470508	0.040218	0.538992	0.273145	0.943539	-0.384427	0.801844	-0.388369	0.532852	-0.284042	0.543637	0.252330	0.352260	-0.421180	0.262102	-0.149917	-0.260064	-0.462632	-0.025605	0.205341	0.449540	-0.190886	-0.027305	-0.155641	0.616053	-0.081817	0.123041	-0.001261	0.723696	-0.552651	0.330329	-0.286045	-0.219226	-0.288131	-0.248101	0.929881	-0.901878	0.083850	0.181180	-1.422342	1.355773	0.772176	-0.725748	-0.690937	0.869937	
4	0.597021	-0.089936	-1.228498	0.239462	-0.599734	-0.162111	0.546481	-0.003565	0.596267	0.279563	1.034621	-0.438246	0.869040	-0.381901	0.628996	-0.339984	0.613334	0.257158	0.415073	-0.457228	0.312278	-0.146551	-0.232911	-0.475562	-0.000666	0.214771	0.621253	-0.287555	0.092788	-0.150824	0.667597	-0.113794	0.167953	0.004188	0.793426	-0.593809	0.386395	-0.283831	-0.189774	-0.300085	-0.226787	1.016815	-0.996215	0.083796	0.181467	-1.706010	1.635485	0.906915	-0.856599	-0.868442	1.043878	
5	0.443138	-0.092934	-1.415331	0.351773	-0.711707	-0.157956	0.612435	-0.038851	0.640297	0.283406	1.093903	-0.472865	0.911530	-0.377870	0.696869	-0.378548	0.660492	0.259989	0.453082	-0.478857	0.342117	-0.144478	-0.214830	-0.482995	0.013803	0.221076	0.752619	-0.360708	0.182762	-0.147744	0.705512	-0.135980	0.198217	0.007324	0.834050	-0.617821	0.418993	-0.282234	-0.161574	-0.311463	-0.209023	1.070675	-1.053235	0.083073	0.182058	-1.906435	1.833360	1.004104	-0.951682	-0.995103	1.168358	
6	0.363709	-0.094961	-1.548120	0.435524	-0.797201	-0.154879	0.670763	-0.068868	0.676607	0.285871	1.133935	-0.496156	0.939734	-0.375168	0.747058	-0.406646	0.694417	0.261735	0.475730	-0.491866	0.360006	-0.143140	-0.203024	-0.487285	0.022409	0.225524	0.854135	-0.417288	0.251762	-0.145640	0.734406	-0.152347	0.220038	0.009228	0.857401	-0.631931	0.438163	-0.280987	-0.134044	-0.322803	-0.192832	1.107888	-1.091966	0.082786	0.182127	-2.052656	1.977875	1.075568	-1.021886	-1.088125	1.259979	
7	0.318754	-0.096452	-1.647823	0.500654	-0.864726	-0.152481	0.723502	-0.095421	0.708147	0.287547	1.162297	-0.512617	0.959479	-0.373244	0.786064	-0.428234	0.720288	0.262858	0.489051	-0.499673	0.370801	-0.142243	-0.195529	-0.489623	0.027494	0.228803	0.934660	-0.462379	0.306403	-0.144121	0.757282	-0.165069	0.236730	0.010437	0.870558	-0.640222	0.449516	-0.279953	-0.106954	-0.334199	-0.177396	1.135940	-1.120786	0.083012	0.181669	-2.164423	2.088446	1.130259	-1.075764	-1.159586	1.330486	
8	0.290789	-0.097613	-1.726211	0.553239	-0.919873	-0.150540	0.772043	-0.119527	0.736484	0.288736	1.183209	-0.524713	0.973890	-0.371813	0.817610	-0.445514	0.740916	0.263602	0.496577	-0.504219	0.377198	-0.141624	-0.191053	-0.490663	0.030297	0.231303	1.000218	-0.499295	0.350914	-0.142977	0.775987	-0.175352	0.250071	0.011228	0.877466	-0.644919	0.456073	-0.279064	-0.080269	-0.345618	-0.162404	1.158431	-1.143651	0.083640	0.180812	-2.253403	2.176552	1.173688	-1.118642	-1.216693	1.386913	
9	0.271988	-0.098553	-1.790097	0.597004	-0.966185	-0.148925	0.817280	-0.141781	0.762495	0.289607	1.199089	-0.533851	0.984723	-0.370713	0.843904	-0.459774	0.757909	0.264104	0.500396	-0.506647	0.380758	-0.141191	-0.188748	-0.490793	0.031534	0.233259	1.054794	-0.530198	0.388018	-0.142089	0.791675	-0.183908	0.261083	0.011755	0.880385	-0.647293	0.459539	-0.278282	-0.054039	-0.356990	-0.147750	1.177264	-1.162634	0.084554	0.179678	-2.326585	2.249075	1.209235	-1.153802	-1.263792	1.433512	
10	0.258553	-0.099336	-1.843641	0.634313	-1.005957	-0.147553	0.859794	-0.162550	0.786705	0.290259	1.211398	-0.540883	0.993032	-0.369846	0.866324	-0.471814	0.772255	0.264446	0.501791	-0.507658	0.382428	-0.140886	-0.188045	-0.490260	0.031648	0.234820	1.101074	-0.556539	0.419526	-0.141381	0.805101	-0.191189	0.270398	0.012107	0.880676	-0.648108	0.460932	-0.277584	-0.028334	-0.368251	-0.133409	1.193537	-1.178917	0.085662	0.178358	-2.388342	2.310325	1.239048	-1.183338	-1.303617	1.472957	
