1	2.941537	0.293920	-0.346512	0.269953	0.002494	-0.254692	0.088901	-0.307376	0.083346	-0.251605	0.180126	-0.057897	-0.040629	0.464602	-0.300316	-0.166762	-0.258230	0.112102	-0.327519	0.007297	-0.447706	-0.212479	0.148786	-0.159483	-0.396429	0.100865	0.347417	0.362344	0.256535	-0.093952	0.136412	0.571684	-0.232480	0.091694	-0.310386	-0.279116	
2	2.336526	0.279934	-0.336992	0.268855	0.033444	-0.268387	0.107021	-0.315021	0.221279	-0.317652	0.220507	-0.067755	0.077093	0.587556	-0.360955	-0.168773	-0.263104	0.171655	-0.359080	0.003781	-0.460787	-0.237776	0.072736	-0.308017	-0.533744	0.144173	0.449512	0.491537	0.239157	-0.125774	0.185513	0.623110	-0.133877	0.200314	-0.325175	-0.319778	
3	2.066801	0.265522	-0.322599	0.267419	0.046354	-0.288940	0.148630	-0.322688	0.252673	-0.383756	0.277779	-0.078630	0.137579	0.698174	-0.416785	-0.167475	-0.333725	0.226072	-0.390540	0.002160	-0.494764	-0.242575	0.029185	-0.401108	-0.675973	0.188964	0.542956	0.607772	0.207602	-0.177197	0.211944	0.651045	-0.074266	0.292925	-0.346797	-0.400665	
4	1.862567	0.252592	-0.309997	0.265466	0.055410	-0.311844	0.181321	-0.332284	0.265126	-0.441083	0.327910	-0.090982	0.183478	0.785598	-0.473883	-0.165551	-0.407646	0.270050	-0.422025	0.001269	-0.529051	-0.243987	-0.005659	-0.471836	-0.802066	0.231248	0.623170	0.708734	0.176635	-0.232053	0.229535	0.674568	-0.027842	0.377984	-0.363956	-0.476865	
5	1.714144	0.242221	-0.299675	0.263484	0.063168	-0.331238	0.206107	-0.341627	0.276064	-0.486110	0.368116	-0.103081	0.222023	0.852460	-0.524229	-0.162980	-0.469561	0.304355	-0.449992	0.000885	-0.558203	-0.247376	-0.033378	-0.531464	-0.906215	0.267326	0.688969	0.792787	0.150351	-0.282089	0.244001	0.694418	0.013348	0.451792	-0.376367	-0.543383	
6	1.612579	0.234074	-0.291107	0.261711	0.069842	-0.346805	0.226302	-0.349731	0.286624	-0.520933	0.400221	-0.114105	0.254088	0.903675	-0.565667	-0.159922	-0.519163	0.331230	-0.473751	0.000811	-0.582167	-0.253804	-0.054667	-0.584184	-0.990912	0.296812	0.742747	0.861830	0.129624	-0.326293	0.257790	0.710458	0.051452	0.513812	-0.384019	-0.601103	
7	1.542652	0.227621	-0.283774	0.260188	0.075597	-0.359179	0.243875	-0.356516	0.296610	-0.548256	0.426394	-0.123936	0.280774	0.943881	-0.599301	-0.156600	-0.559012	0.352845	-0.493984	0.000903	-0.602065	-0.262853	-0.070743	-0.631793	-1.060542	0.320671	0.787659	0.918855	0.114242	-0.366009	0.271714	0.723146	0.087001	0.565780	-0.387370	-0.652151	
8	1.492525	0.222443	-0.277283	0.258882	0.080654	-0.368907	0.259939	-0.362202	0.306100	-0.570159	0.448349	-0.132729	0.303326	0.976559	-0.626868	-0.153167	-0.591562	0.370823	-0.511598	0.001083	-0.619000	-0.273862	-0.082783	-0.675217	-1.118970	0.340260	0.826251	0.966536	0.103674	-0.402867	0.285949	0.733098	0.120145	0.609749	-0.387069	-0.698516	
9	1.454715	0.218250	-0.271340	0.257745	0.085223	-0.376359	0.275187	-0.367057	0.315320	-0.588079	0.467334	-0.140696	0.322813	1.004125	-0.649908	-0.149709	-0.618668	0.386273	-0.527383	0.001316	-0.633820	-0.286276	-0.091742	-0.715045	-1.169115	0.356958	0.860238	1.006912	0.097392	-0.438200	0.300477	0.740879	0.150992	0.647425	-0.383717	-0.741750	
10	1.424706	0.214850	-0.265727	0.256728	0.089476	-0.381747	0.290084	-0.371320	0.324523	-0.602986	0.484248	-0.148035	0.340067	1.028252	-0.669643	-0.146277	-0.641659	0.399945	-0.541973	0.001582	-0.647149	-0.299686	-0.098368	-0.751714	-1.213115	0.372054	0.890674	1.041466	0.094977	-0.472985	0.315230	0.746971	0.179665	0.680093	-0.377772	-0.783001	
