1	2.807275	0.119038	0.123402	0.401714	-0.084891	0.441855	-0.252342	-0.149509	-0.353907	-0.265010	-0.312800	-0.453322	0.308153	0.016958	0.480322	0.538598	0.451861	0.307216	-0.403061	0.475778	0.215773	0.459345	0.399651	-0.064275	-0.165956	-0.131978	0.205092	-0.135629	-0.337037	0.340409	0.195142	0.143792	-0.374934	-0.195935	-0.551570	-0.239974	-0.297542	0.050318	0.211452	-0.348217	-0.499579	-0.332059	-0.185225	-0.167642	-0.317822	0.362929	0.107812	-0.043706	-0.219274	-0.266432	0.263558	0.064669	
2	2.545464	0.111589	0.137269	0.397976	-0.095542	0.454251	-0.263219	-0.169223	-0.304389	-0.275543	-0.319579	-0.413537	0.288266	-0.023582	0.519588	0.521484	0.418093	0.357020	-0.466950	0.524715	0.198641	0.478308	0.490266	-0.109083	-0.067635	-0.110422	0.186961	-0.126099	-0.285840	0.315624	0.236353	0.164348	-0.404726	-0.253063	-0.648331	-0.211740	-0.232154	0.033797	0.188690	-0.327499	-0.515723	-0.346741	-0.195584	-0.190812	-0.315112	0.378496	0.137753	-0.050950	-0.220553	-0.313884	0.276006	0.104994	
3	2.383936	0.097665	0.148507	0.394014	-0.109703	0.468070	-0.276266	-0.214170	-0.262801	-0.288261	-0.347697	-0.370015	0.262404	-0.089046	0.550286	0.504463	0.372589	0.413155	-0.539188	0.583790	0.189339	0.493158	0.566340	-0.161595	0.040418	-0.082087	0.174113	-0.118100	-0.239996	0.287011	0.282967	0.187770	-0.433938	-0.299627	-0.755918	-0.169489	-0.148409	0.029486	0.163069	-0.316872	-0.531511	-0.358131	-0.195124	-0.238618	-0.300931	0.416919	0.181309	-0.069785	-0.242048	-0.388857	0.302867	0.172332	
4	2.174546	0.084098	0.157397	0.391396	-0.125275	0.481885	-0.289624	-0.250427	-0.229671	-0.295092	-0.383052	-0.330015	0.237976	-0.155556	0.573782	0.492888	0.322340	0.470499	-0.612343	0.661542	0.183283	0.506698	0.639636	-0.223907	0.155373	-0.045585	0.164271	-0.110967	-0.194610	0.254011	0.333341	0.204025	-0.464392	-0.335604	-0.867813	-0.118539	-0.050614	0.028638	0.134754	-0.310436	-0.550565	-0.369214	-0.186428	-0.300804	-0.277072	0.472865	0.237137	-0.098347	-0.280607	-0.480351	0.341430	0.259686	
5	1.948261	0.072418	0.164681	0.390136	-0.140903	0.494445	-0.302192	-0.276891	-0.201598	-0.296388	-0.420326	-0.296720	0.214734	-0.214328	0.592390	0.487271	0.273518	0.523246	-0.679862	0.741026	0.181008	0.517464	0.707188	-0.288841	0.261918	-0.008494	0.157210	-0.105311	-0.151027	0.220022	0.380676	0.213884	-0.493261	-0.363884	-0.969708	-0.064889	0.046403	0.028639	0.105859	-0.306333	-0.568796	-0.380002	-0.175324	-0.364852	-0.247105	0.536571	0.295421	-0.132872	-0.327751	-0.571748	0.386493	0.352161	
6	1.754737	0.062942	0.170981	0.390023	-0.155667	0.505221	-0.312869	-0.296480	-0.175626	-0.293038	-0.457077	-0.269312	0.194312	-0.262349	0.608084	0.486776	0.230492	0.568244	-0.736578	0.810209	0.183237	0.525791	0.764148	-0.347406	0.350529	0.023935	0.152932	-0.100941	-0.111488	0.189114	0.420382	0.217750	-0.518500	-0.389644	-1.054772	-0.014652	0.130181	0.027356	0.078344	-0.306085	-0.585024	-0.390734	-0.167863	-0.422050	-0.216924	0.597985	0.348776	-0.167878	-0.374038	-0.652031	0.431069	0.435516	
7	1.614369	0.055492	0.176537	0.390594	-0.169280	0.514168	-0.321239	-0.311206	-0.151160	-0.287057	-0.492212	-0.246595	0.178297	-0.300245	0.621763	0.489432	0.194276	0.605077	-0.781502	0.866394	0.188882	0.532310	0.810134	-0.395909	0.420916	0.050497	0.150849	-0.097477	-0.076272	0.163005	0.451963	0.216679	-0.539390	-0.415439	-1.123632	0.028468	0.196990	0.023910	0.053487	-0.310434	-0.599649	-0.401398	-0.166079	-0.469425	-0.191731	0.652796	0.394551	-0.199025	-0.414745	-0.718833	0.470250	0.503990	
8	1.518890	0.049661	0.181411	0.391405	-0.181857	0.521497	-0.327552	-0.322472	-0.128656	-0.280441	-0.525261	-0.227822	0.166742	-0.330154	0.633719	0.493419	0.163869	0.634844	-0.816572	0.911401	0.196232	0.537316	0.847987	-0.435122	0.476984	0.071991	0.150151	-0.094684	-0.044171	0.141371	0.477003	0.212326	-0.556176	-0.441295	-1.179686	0.063670	0.249303	0.018622	0.031749	-0.318527	-0.613083	-0.411747	-0.168913	-0.507499	-0.174258	0.701598	0.433071	-0.224309	-0.449654	-0.774095	0.502568	0.558635	
9	1.453218	0.045020	0.185664	0.392206	-0.193659	0.527540	-0.332291	-0.331374	-0.108398	-0.274316	-0.556200	-0.212216	0.158801	-0.354238	0.644145	0.497698	0.137802	0.659110	-0.844359	0.947840	0.204069	0.540986	0.880861	-0.467110	0.522806	0.089601	0.150221	-0.092426	-0.013784	0.123232	0.497307	0.206144	-0.569558	-0.466602	-1.226214	0.091871	0.291065	0.012189	0.012992	-0.329074	-0.625497	-0.421585	-0.174647	-0.537949	-0.165070	0.746418	0.465605	-0.243558	-0.480195	-0.820497	0.528792	0.602549	
10	1.405798	0.041229	0.189376	0.392900	-0.204954	0.532629	-0.335898	-0.338713	-0.090333	-0.269072	-0.585297	-0.198966	0.153524	-0.374160	0.653255	0.501846	0.114783	0.679308	-0.866994	0.977867	0.211765	0.543501	0.911076	-0.493723	0.561452	0.104319	0.150692	-0.090604	0.015956	0.107660	0.514281	0.199105	-0.580298	-0.490926	-1.265661	0.114515	0.325540	0.005200	-0.003188	-0.341031	-0.636969	-0.430855	-0.181952	-0.562470	-0.163597	0.788974	0.493415	-0.257474	-0.507804	-0.860239	0.550472	0.638504	
11	1.369415	0.038046	0.192635	0.393469	-0.215974	0.537041	-0.338699	-0.345021	-0.074238	-0.264724	-0.612953	-0.187355	0.150173	-0.391075	0.661266	0.505754	0.093817	0.696553	-0.885998	1.003065	0.219051	0.545044	0.940113	-0.516324	0.595055	0.116875	0.151360	-0.089143	0.045758	0.093942	0.528906	0.191769	-0.589057	-0.514087	-1.299734	0.132971	0.355009	-0.001963	-0.017248	-0.353706	-0.647566	-0.439592	-0.189993	-0.582450	-0.168900	0.830386	0.517505	-0.266982	-0.533528	-0.894917	0.569165	0.668489	
12	1.339763	0.035305	0.195518	0.393929	-0.226906	0.540989	-0.340918	-0.350634	-0.059848	-0.261142	-0.639585	-0.176818	0.148244	-0.405772	0.668367	0.509445	0.074162	0.711661	-0.902412	1.024566	0.225837	0.545780	0.968881	-0.535868	0.625095	0.127791	0.152116	-0.087978	0.076078	0.081560	0.541858	0.184436	-0.596366	-0.536055	-1.329627	0.148343	0.380987	-0.009079	-0.029615	-0.366672	-0.657365	-0.447888	-0.198286	-0.598937	-0.180047	0.871321	0.538627	-0.272932	-0.558070	-0.925665	0.586167	0.693843	
13	1.314236	0.032897	0.198089	0.394304	-0.237896	0.544628	-0.342706	-0.355752	-0.046912	-0.258166	-0.665566	-0.166933	0.147414	-0.418788	0.674716	0.512983	0.055267	0.725215	-0.916946	1.043197	0.232113	0.545850	0.997938	-0.553036	0.652630	0.137440	0.152899	-0.087058	0.107210	0.070136	0.553613	0.177258	-0.602653	-0.556871	-1.356192	0.161471	0.404486	-0.016031	-0.040665	-0.379670	-0.666449	-0.455853	-0.206553	-0.612709	-0.196244	0.912171	0.557336	-0.276018	-0.581900	-0.953299	0.602493	0.715468	
14	1.291205	0.030746	0.200399	0.394620	-0.249056	0.548073	-0.344170	-0.360494	-0.035221	-0.255644	-0.691210	-0.157408	0.147468	-0.430502	0.680437	0.516436	0.036718	0.737627	-0.930107	1.059573	0.237901	0.545366	1.027628	-0.568330	0.678440	0.146099	0.153677	-0.086343	0.139347	0.059386	0.564512	0.170311	-0.608262	-0.576593	-1.380056	0.172986	0.426189	-0.022761	-0.050727	-0.392530	-0.674894	-0.463608	-0.214634	-0.624344	-0.216854	0.953161	0.574049	-0.276772	-0.605334	-0.978420	0.618916	0.733982	
